topic,doc_id,label,doc_pred,-,bert_sentiment,lexicon_sentiment,topical,topic_similarity,tokens,entities,Column1,text,sent_id
Donald Trump,24,0,0.660881519,,0.237889737,1.023379698,0,0,11,1,57,Vinder Real Madrid Champions League for fjerde år i træk?,72
Donald Trump,24,0,0.660881519,,-0.193493515,0.977106673,0,0,7,1,50,Vinder Caroline Wozniacki en Grand Slam-turnering?,16
Donald Trump,24,0,0.660881519,,-1.182155967,-0.061737258,1,0,12,2,81,Vil Demokraterne i Repræsentanternes Hus indlede en rigsretssag mod Donald Trump?,48
Joe Biden,1,0,-1.149904132,,0.8257218,0.44,0,0,13,2,62,"Vi vil vinde,"" skriver han på Twitter efter Pelosis udmelding.",13
Donald Trump,26,-1,-1.426555753,,0.193576559,-0.111888112,1,0,15,1,67,"Vi er nødt til rent faktisk at gøre en forskel, sagde Donald Trump.",10
Joe Biden,1,0,-1.149904132,,-1.3603369,0.349514563,0,0,17,2,90,"USA's præsident, Donald Trump, har klokkeklart brudt loven og skal stilles for en rigsret.",1
Donald Trump,36,-1,-1.249259949,,-1.549555659,-0.77486911,0,0,13,3,72,"USA frygter, at Huawei er nært forbundet med Kinas kommunistiske regime.",9
Donald Trump,21,2,0.03423284,,-1.064540148,0.336633663,0,0,14,1,79,"Umådelig meget var på spil, da præsidenterne fra Nordog Sydkorea mødtes fredag.",2
Boris Johnson,3,0,-1.747118831,,-0.648269773,-0.240601504,0,0,13,2,97,Ukraine inviterede tidligere torsdag Storbritannien til at deltage i efterforskningen af styrtet.,5
Donald Trump,24,0,0.660881519,,0.719921172,0.640226629,0,0,8,2,53,Uddeler Det Svenske Akademi Nobelprisen i litteratur?,50
Boris Johnson,4,-1,-1.055706978,,-0.639799654,-0.025806452,0,0,17,3,92,Ud af EU den 31. oktober Efter planen skal Storbritannien forlade EU senest den 31. oktober.,17
Donald Trump,25,-2,-1.336158037,,0.055732038,0,0,0,8,1,76,"TWITTERKONTOENharværet Trumps kommunikationscentral, aktionsrum og taktstok.",7
Donald Trump,16,0,-0.38944298,,-0.502115905,-0.122699387,1,0,17,1,98,"Tværtimod var det netop den magelige middelklasse, som valgte Donald Trump i primærvalgene i 2016.",21
Donald Trump,34,0,-0.485920012,,-1.373696089,-0.826086956,0,0,12,1,60,Trumps krav vil koste mere end et års udgifter til politiet.,0
Donald Trump,32,-2,-1.21890831,,-0.661597073,0,0,0,13,3,69,"Trump fortalte ikke Comey, hvornår han havde denne samtale med Putin.",12
Donald Trump,28,2,-0.873057306,,0.211922914,1.114754098,0,0,9,1,62,Trump er den mest populære republikanske præsident nogensinde.,16
Joe Biden,1,0,-1.149904132,,-1.450004339,-0.868571429,0,0,11,1,57,"Trump afviser anklagerne, som han har kaldt en heksejagt.",10
Donald Trump,36,-1,-1.249259949,,-0.5182634,-0.173913044,1,0,14,3,84,Tirsdag i sidste uge tog Donald Trumptelefonenog ringede til Boris Johnson i London.,1
